encoder,variant,layer_token,layer,test_map,test_mrr,test_map_at_1
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,13,13,0.13485676050186157,0.291769415140152,0.11366282403469086
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,14,14,0.14160580933094025,0.3016034662723541,0.1171347051858902
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,15,15,0.14272719621658325,0.3036879897117615,0.11790265887975691
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,16,16,0.13839197158813477,0.2971978783607483,0.11628059297800064
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,17,17,0.13466928899288175,0.29246336221694946,0.11479197442531586
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,18,18,0.13479170203208923,0.29244840145111084,0.11516816914081572
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,19,19,0.13598085939884186,0.2943061292171478,0.11522329598665236
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,20,20,0.1446433961391449,0.30591192841529846,0.11892237514257432
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,21,21,0.1387927383184433,0.2977656424045563,0.1164216548204422
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,22,22,0.12528036534786224,0.2767683267593384,0.1102033108472824
OMARRQ-multifeature-25hz,VGMIDITVar-multisf,23,23,0.1144878938794136,0.25851765275001526,0.10307174175977708
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,meanall,-1,0.005939203780144453,0.01601411961019039,0.0012530062813311815
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,0,0,0.005409984849393368,0.014475557021796703,0.0012615162413567305
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,1,1,0.0086434381082654,0.02163625881075859,0.0017834019381552937
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,2,2,0.006640210747718811,0.017130659893155098,0.001089928555302322
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,3,3,0.005007592495530844,0.01368190161883831,0.0008653383702039719
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,4,4,0.0043325345031917095,0.01216256245970726,0.0008574758539907634
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,5,5,0.004629411268979311,0.013094511814415457,0.0008794909226708114
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,6,6,0.0041525461710989475,0.011898224242031574,0.0007000406621955335
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,7,7,0.0044697001576423645,0.012794933281838894,0.0007654382498003542
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,8,8,0.004464295692741871,0.01287335529923439,0.0008542384020984173
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,9,9,0.005002899095416069,0.014265001751482488,0.0009060384472832084
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,10,10,0.006764190271496773,0.01867073029279709,0.0012212787987664342
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,11,11,0.009667559526860714,0.025072716176509857,0.002078569494187832
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,12,12,0.011193831451237202,0.02840953879058361,0.002404170110821724
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,13,13,0.010093197226524351,0.025988968089222908,0.002151644788682461
OMARRQ-multifeature-25hz,VGMIDITVar-leitmotif,14,14,0.01380352396517992,0.03387193754315376,0.0030607355292886496
