encoder,layer,query_program,target_program,map,n_queries
CLaMP3,5,73,48,0.2052040994167328,80
CLaMP3,5,73,56,0.6429687738418579,16
CLaMP3,5,73,60,0.35132312774658203,80
CLaMP3,5,73,73,0.0,0
CLaMP3,6,-1,-1,0.012873569503426552,1714
CLaMP3,6,0,0,0.1421714872121811,12
CLaMP3,6,0,48,0.17489534616470337,680
CLaMP3,6,0,56,0.5714285373687744,22
CLaMP3,6,0,60,0.3708587884902954,268
CLaMP3,6,0,73,0.4518370032310486,86
CLaMP3,6,48,0,0.29604774713516235,676
CLaMP3,6,48,48,0.09515485167503357,4
CLaMP3,6,48,56,0.6364087462425232,18
CLaMP3,6,48,60,0.4236084818840027,264
CLaMP3,6,48,73,0.4734528362751007,82
CLaMP3,6,56,0,0.14487814903259277,16
CLaMP3,6,56,48,0.18200381100177765,16
CLaMP3,6,56,56,0.0,0
CLaMP3,6,56,60,0.2302677184343338,16
CLaMP3,6,56,73,0.2882051467895508,16
CLaMP3,6,60,0,0.2173227220773697,262
CLaMP3,6,60,48,0.2883366644382477,262
CLaMP3,6,60,56,0.6848958134651184,16
CLaMP3,6,60,60,0.0,0
CLaMP3,6,60,73,0.48740750551223755,80
CLaMP3,6,73,0,0.16038097441196442,80
CLaMP3,6,73,48,0.18422731757164001,80
CLaMP3,6,73,56,0.5979043245315552,16
CLaMP3,6,73,60,0.3320767283439636,80
CLaMP3,6,73,73,0.0,0
CLaMP3,7,-1,-1,0.011814238503575325,1714
CLaMP3,7,0,0,0.12623828649520874,12
CLaMP3,7,0,48,0.15512268245220184,680
CLaMP3,7,0,56,0.5351928472518921,22
CLaMP3,7,0,60,0.31687548756599426,268
CLaMP3,7,0,73,0.3824959993362427,86
CLaMP3,7,48,0,0.2763400673866272,676
CLaMP3,7,48,48,0.08337454497814178,4
CLaMP3,7,48,56,0.5881359577178955,18
CLaMP3,7,48,60,0.4123568534851074,264
CLaMP3,7,48,73,0.46091508865356445,82
CLaMP3,7,56,0,0.16047780215740204,16
CLaMP3,7,56,48,0.1853751391172409,16
CLaMP3,7,56,56,0.0,0
CLaMP3,7,56,60,0.23295405507087708,16
CLaMP3,7,56,73,0.2826927900314331,16
CLaMP3,7,60,0,0.2005613148212433,262
CLaMP3,7,60,48,0.2730679512023926,262
CLaMP3,7,60,56,0.6953125,16
CLaMP3,7,60,60,0.0,0
CLaMP3,7,60,73,0.48020926117897034,80
CLaMP3,7,73,0,0.16432850062847137,80
CLaMP3,7,73,48,0.17154231667518616,80
CLaMP3,7,73,56,0.6108506917953491,16
CLaMP3,7,73,60,0.3172283470630646,80
CLaMP3,7,73,73,0.0,0
CLaMP3,8,-1,-1,0.010713359341025352,1714
CLaMP3,8,0,0,0.14867694675922394,12
CLaMP3,8,0,48,0.16587527096271515,680
CLaMP3,8,0,56,0.480303019285202,22
CLaMP3,8,0,60,0.3244039714336395,268
CLaMP3,8,0,73,0.37418854236602783,86
CLaMP3,8,48,0,0.25473901629447937,676
CLaMP3,8,48,48,0.07772435992956161,4
CLaMP3,8,48,56,0.5813899636268616,18
CLaMP3,8,48,60,0.3983214199542999,264
CLaMP3,8,48,73,0.4437294900417328,82
